filename,width,height,class,xmin,ymin,xmax,ymax,damage_type,cost
1002.jpeg,224,224,bumper_dent,45,1,224,224,bumper_dent,28000
1006.jpeg,224,224,bumper_dent,129,43,224,224,bumper_dent,23000
1017.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,29500
1020.jpeg,224,224,bumper_dent,41,36,224,206,bumper_dent,30200
103.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,27500
1039.jpeg,224,224,bumper_dent,38,94,224,224,bumper_dent,28500
1054.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
1058.jpeg,224,224,bumper_dent,43,1,224,224,bumper_dent,47600
1068.jpeg,224,224,bumper_dent,1,1,224,219,bumper_dent,28000
1075.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,23000
1079.jpeg,224,224,bumper_dent,1,1,211,224,bumper_dent,29500
1092.jpeg,224,224,bumper_dent,1,1,224,184,bumper_dent,30200
11.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,27500
110.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28500
111.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
1120.jpeg,224,224,bumper_dent,1,1,220,203,bumper_dent,47600
1125.jpeg,224,224,bumper_dent,139,96,224,167,bumper_dent,28000
1135.jpeg,224,224,bumper_dent,1,1,224,223,bumper_dent,23000
1146.jpeg,224,224,bumper_dent,18,53,214,222,bumper_dent,29500
1162.jpeg,224,224,bumper_dent,1,41,224,224,bumper_dent,30200
1166.jpeg,224,224,bumper_dent,2,1,224,189,bumper_dent,27500
1186.jpeg,224,224,bumper_dent,23,10,214,170,bumper_dent,28500
1189.jpeg,224,224,bumper_dent,19,24,119,180,bumper_dent,30500
1198.jpeg,224,224,bumper_dent,1,28,204,193,bumper_dent,47600
1209.jpeg,224,224,bumper_dent,1,1,192,224,bumper_dent,28000
1231.jpeg,224,224,bumper_dent,35,82,151,182,bumper_dent,23000
1259.jpeg,224,224,bumper_dent,75,5,202,137,bumper_dent,29500
1271.jpeg,224,224,bumper_dent,47,40,224,203,bumper_dent,30200
1301.jpeg,224,224,bumper_dent,27,51,177,202,bumper_dent,27500
1302.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28500
1309.jpeg,224,224,bumper_dent,83,104,165,142,bumper_dent,30500
1314.jpeg,224,224,bumper_dent,84,103,224,212,bumper_dent,47600
1318.jpeg,224,224,bumper_dent,44,37,178,178,bumper_dent,28000
1320.jpeg,224,224,bumper_dent,1,1,221,224,bumper_dent,23000
1324.jpeg,224,224,bumper_dent,94,21,199,161,bumper_dent,29500
133.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30200
1332.jpeg,224,224,bumper_dent,61,25,132,127,bumper_dent,27500
1340.jpeg,224,224,bumper_dent,82,55,224,203,bumper_dent,28500
1356.jpeg,224,224,bumper_dent,21,20,224,215,bumper_dent,30500
1359.jpeg,224,224,bumper_dent,104,44,224,194,bumper_dent,47600
1364.jpeg,224,224,bumper_dent,107,98,217,206,bumper_dent,28000
1365.jpeg,224,224,bumper_dent,102,36,222,172,bumper_dent,23000
1378.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,29500
1389.jpeg,224,224,bumper_dent,1,57,224,204,bumper_dent,30200
1415.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,27500
1416.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28500
1424.jpeg,224,224,bumper_dent,1,93,224,224,bumper_dent,30500
1475.jpeg,224,224,bumper_dent,1,36,78,133,bumper_dent,47600
1478.jpeg,224,224,bumper_dent,95,88,173,168,bumper_dent,28000
153.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,23000
159.jpeg,224,224,bumper_dent,1,1,224,209,bumper_dent,29500
164.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30200
17.jpeg,224,224,bumper_dent,1,1,224,223,bumper_dent,27500
183.jpeg,224,224,bumper_dent,1,1,224,203,bumper_dent,28500
198.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
209.jpeg,224,224,bumper_dent,1,1,224,222,bumper_dent,47600
214.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28000
222.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,23000
234.jpeg,224,224,bumper_dent,1,1,224,189,bumper_dent,29500
248.jpeg,224,224,bumper_dent,1,1,224,201,bumper_dent,30200
266.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,27500
288.jpeg,224,224,bumper_dent,1,1,224,222,bumper_dent,28500
307.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
308.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,47600
324.jpeg,224,224,bumper_dent,1,1,224,209,bumper_dent,28000
346.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,23000
359.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,29500
361.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30200
367.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,27500
368.jpeg,224,224,bumper_dent,1,1,223,182,bumper_dent,28500
369.jpeg,224,224,bumper_dent,1,1,224,222,bumper_dent,30500
371.jpeg,224,224,bumper_dent,1,1,224,223,bumper_dent,47600
389.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28000
392.jpeg,224,224,bumper_dent,63,64,187,185,bumper_dent,23000
394.jpeg,224,224,bumper_dent,1,12,224,224,bumper_dent,29500
397.jpeg,224,224,bumper_dent,1,1,224,201,bumper_dent,30200
405.jpeg,224,224,bumper_dent,125,116,224,156,bumper_dent,27500
41.jpeg,224,224,bumper_dent,1,1,224,185,bumper_dent,28500
413.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
419.jpeg,224,224,bumper_dent,1,1,224,175,bumper_dent,47600
444.jpeg,224,224,bumper_dent,31,46,153,177,bumper_dent,28000
449.jpeg,224,224,bumper_dent,1,1,224,202,bumper_dent,23000
46.jpeg,224,224,bumper_dent,1,1,224,199,bumper_dent,29500
49.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30200
497.jpeg,224,224,bumper_dent,70,1,224,222,bumper_dent,27500
504.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28500
505.jpeg,224,224,bumper_dent,1,1,224,192,bumper_dent,30500
513.jpeg,224,224,bumper_dent,118,128,199,198,bumper_dent,47600
531.jpeg,224,224,bumper_dent,1,1,224,223,bumper_dent,28000
533.jpeg,224,224,bumper_dent,1,1,224,216,bumper_dent,23000
533.jpeg,224,224,bumper_dent,72,99,175,185,bumper_dent,29500
540.jpeg,224,224,bumper_dent,41,1,224,224,bumper_dent,30200
561.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,27500
576.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28500
578.jpeg,224,224,bumper_dent,98,121,171,208,bumper_dent,30500
581.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,47600
586.jpeg,224,224,bumper_dent,145,64,224,223,bumper_dent,28000
598.jpeg,224,224,bumper_dent,146,44,224,184,bumper_dent,23000
616.jpeg,224,224,bumper_dent,1,40,152,217,bumper_dent,29500
629.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30200
642.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,27500
654.jpeg,224,224,bumper_dent,1,1,224,159,bumper_dent,28500
666.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
667.jpeg,224,224,bumper_dent,1,1,224,192,bumper_dent,47600
680.jpeg,224,224,bumper_dent,1,1,224,220,bumper_dent,28000
693.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,23000
701.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,29500
703.jpeg,224,224,bumper_dent,1,1,223,202,bumper_dent,30200
730.jpeg,224,224,bumper_dent,1,1,224,195,bumper_dent,27500
765.jpeg,224,224,bumper_dent,1,1,224,207,bumper_dent,28500
767.jpeg,224,224,bumper_dent,1,1,224,214,bumper_dent,30500
802.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,47600
806.jpeg,224,224,bumper_dent,1,1,224,203,bumper_dent,28000
814.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,23000
815.jpeg,224,224,bumper_dent,1,1,224,166,bumper_dent,29500
83.jpeg,224,224,bumper_dent,1,1,224,176,bumper_dent,30200
837.jpeg,224,224,bumper_dent,1,1,224,203,bumper_dent,27500
86.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28500
87.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
874.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,47600
882.jpeg,224,224,bumper_dent,1,1,189,224,bumper_dent,28000
884.jpeg,224,224,bumper_dent,124,98,217,188,bumper_dent,23000
888.jpeg,224,224,bumper_dent,29,59,189,190,bumper_dent,29500
9.jpeg,224,224,bumper_dent,1,1,224,216,bumper_dent,30200
903.jpeg,224,224,bumper_dent,54,126,224,224,bumper_dent,27500
914.jpeg,224,224,bumper_dent,1,1,224,207,bumper_dent,28500
915.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,30500
916.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,47600
917.jpeg,224,224,bumper_dent,24,100,224,202,bumper_dent,28000
92.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,23000
948.jpeg,224,224,bumper_dent,1,1,224,212,bumper_dent,29500
950.jpeg,224,224,bumper_dent,1,1,224,189,bumper_dent,30200
962.jpeg,224,224,bumper_dent,1,1,224,131,bumper_dent,27500
966.jpeg,224,224,bumper_dent,1,1,224,224,bumper_dent,28500
986.jpeg,224,224,bumper_dent,144,110,224,199,bumper_dent,30500
991.jpeg,224,224,bumper_dent,1,1,224,214,bumper_dent,47600
996.jpeg,224,224,bumper_dent,1,1,224,195,bumper_dent,28000
1008.jpeg,224,224,bumper_scratch,1,1,224,202,bumper_scratch,23000
102.jpeg,224,224,bumper_scratch,1,1,224,224,bumper_scratch,29500
1025.jpeg,224,224,bumper_scratch,64,79,224,224,bumper_scratch,30200
1029.jpeg,224,224,bumper_scratch,53,66,166,182,bumper_scratch,27500
1047.jpeg,224,224,bumper_scratch,1,38,163,195,bumper_scratch,28500
1065.jpeg,224,224,bumper_scratch,1,1,224,205,bumper_scratch,30500
