ID,Latitude,Longitude,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,addr:suburb,brand,brand:wikidata,check_date,contact:phone,designation,internet_access,name,name:en,not:brand:wikidata,opening_hours,opening_hours:signed,operator,phone,service,service:vehicle:car_repair,service:vehicle:painting,shop,survey:date,website,wheelchair
1376770720,6.9148709,79.8573473,Not Specified,SPREYMECH,Not Specified,Not Specified,W. A. D. Ramanayake Mawatha,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,SPREYMECH,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1376877209,6.9476402,79.8806883,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,United Motors Garage,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1468601011,6.9465989,79.8779513,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,wheelsmart,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1651212804,6.8495466,79.9166418,Maharagama,Not Specified,Not Specified,Not Specified,Purana Road,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Dammika Engineers (Pvt) Ltd,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1735979954,6.8734922,79.8827808,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Matara Garage Ltd,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1737485278,6.8566007,79.891185,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Mazna Motors,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1845071181,6.8539792,79.9144273,Nawinna,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Toyota,Q53268,Not Specified,Not Specified,Not Specified,Not Specified,Toyota Lanka Service Station - Maharagama,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1895968903,6.8157047,79.8770665,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Toyota Lanka,Not Specified,Q53268,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1903594744,6.975136,79.8880594,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Senok Work Shop,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1912464487,6.9049744,79.9014039,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,AMW Services Centre,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
1924772412,6.9614726,79.8860907,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,AMW,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
2096415538,6.9324645,79.8893547,Kolonnawa,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
2122142051,6.8596512,79.8993772,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Eranga Motors,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
2402351716,6.9270925,79.8465968,Not Specified,Not Specified,Not Specified,Not Specified,Sir Mohamed Macan Marker Mawatha,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Automobile Association of Ceylon,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,https://www.aaceylon.lk/,Not Specified
3070014274,6.8415721,79.9045027,Boralesgamuwa,Not Specified,109/1,Not Specified,Maharagama-Dehiwala Road,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,ADVAN CAR AUDIO,Not Specified,Not Specified,Not Specified,Not Specified,ADVAN,+94777115511,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3136329694,6.9237873,79.8615806,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2023-10-04,Not Specified,Mag City,Not Specified,Mag City,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3254715384,6.846703,79.9709794,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,AutoZone,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3355430540,6.9154356,79.8578465,Colombo 2,Janashakthi Auto Centre,Not Specified,Not Specified,W A D Ramanayake Mawatha,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Janashakthi Auto Centre,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3379322693,6.8549953,79.9136734,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Sampath Spare Parts Shop,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3379322722,6.8552821,79.9137338,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3506435528,6.9028834,79.9120994,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Marina Shock Absorbers,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3537889946,6.9048209,79.9513896,Malabe,Perera Wheel Alignment Sernice,Not Specified,Not Specified,New Kandy Road,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Perera Wheel Alignment Service,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3537910732,6.8742311,79.9532069,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Ajith Motors,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3738520747,6.8667943,79.9108148,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Laugfs Eco-Sri Emission Test Service,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,repair,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3753933972,6.9508711,79.8736817,Colombo,Not Specified,Not Specified,Not Specified,Prince of Wales Avenue,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Edirisinghe Brothers,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3771327333,6.9680567,79.9021786,Wedamulla,Not Specified,873,Not Specified,Kandy Road,Not Specified,Not Specified,Not Specified,2023-03-08,Not Specified,Not Specified,Not Specified,Micro Cars Workshop,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3922314942,6.9230361,79.8642342,Not Specified,Not Specified,Not Specified,Not Specified,Arnold Ratnayake Road,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Arabian Motors,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3922317057,6.9230882,79.8628237,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
3922521624,6.9314465,79.8652452,Not Specified,Not Specified,Not Specified,Not Specified,Phanchakawatta Road,Not Specified,Toyota,Q53268,Not Specified,Not Specified,Not Specified,Not Specified,Toyota Lanka,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
4074686946,6.9272703,79.8611084,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
4451148892,6.9634568,79.8960963,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Mint auto city,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,car_repair,Not Specified,Not Specified,Not Specified
